STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
1538,"*SILCHAR, ASSAM",ASSAM,24.833271,92.778905,2014,22,88,8.8,5.1,-126.6666667,-13.93333333,125,50,0.2,0.7,11.66666667,1.283333333,3.7,1.85,0.185,18,90,14.4,10.935
1539,"*BARPETA, ASSAM",ASSAM,26.321599,90.982067,2014,27.5,110,11,6.8,-13.33333333,-1.466666667,599,239.6,0.9584,2,33.33333333,3.666666667,1.5,0.75,0.075,0,0,0,14.2334
1540,"*BONAIGAON, ASSAM",ASSAM,26.500999,90.535236,2014,27.5,110,11,5.9,-73.33333333,-8.066666667,446,178.4,0.7136,1.1,18.33333333,2.016666667,0.3,0.15,0.015,0,0,0,5.6786
1541,"*GUWAHATI, ASSAM",ASSAM,26.144517,91.736237,2014,23,92,9.2,6.4,-40,-4.4,1048,419.2,1.6768,2.4,40,4.4,9.8,4.9,0.49,120,600,96,107.3668
1542,"*GUWAHATI, ASSAM",ASSAM,26.154517,91.746237,2014,25,100,10,6.9,-6.666666667,-0.733333333,716,286.4,1.1456,1.5,25,2.75,0.9,0.45,0.045,18,90,14.4,27.60726667
2243,"GROUND WATER FROM LEDO, MARGHERITA",ASSAM,27.291177,95.738462,2014,23,92,9.2,5.7,-86.66666667,-9.533333333,591,236.4,0.9456,0.8,13.33333333,1.466666667,8.3,4.15,0.415,0,0,0,2.493933333
2244,GROUND WATER FROM NAZIRA,ASSAM,26.900658,94.722579,2014,23,92,9.2,6.6,-26.66666667,-2.933333333,562,224.8,0.8992,1.1,18.33333333,2.016666667,3.6,1.8,0.18,4650,23250,3720,3729.362533
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),ASSAM,25.4428,81.867059,2014,26.5,106,10.6,5.7,-86.66666667,-9.533333333,248,99.2,0.3968,1,16.66666667,1.833333333,2.5,1.25,0.125,230,1150,184,187.4218
2246,GROUND WATER FROM SEMENCHAPARI,ASSAM,27.717388,94.886406,2014,21,84,8.4,6.6,-26.66666667,-2.933333333,544,217.6,0.8704,0.8,13.33333333,1.466666667,0.1,0.05,0.005,0,0,0,7.808733333
2247,GROUND WATER FROM SILAPATHAR,ASSAM,27.595294,94.724003,2014,21,84,8.4,6.2,-53.33333333,-5.866666667,649,259.6,1.0384,0.5,8.333333333,0.916666667,3.3,1.65,0.165,0,0,0,4.6534
2248,GROUND WATER FROM LAKHIMPUR TOWN,ASSAM,27.949079,80.782401,2014,26,104,10.4,6.6,-26.66666667,-2.933333333,817,326.8,1.3072,2.2,36.66666667,4.033333333,5.6,2.8,0.28,0,0,0,13.0872
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),ASSAM,26.660782,92.775492,2014,27,108,10.8,6.1,-60,-6.6,195,78,0.312,1.1,18.33333333,2.016666667,1.3,0.65,0.065,0,0,0,6.593666667
2250,GROUND WATER FROM NAGAON (PANIGAON),ASSAM,26.349916,92.697737,2014,28.5,114,11.4,6.6,-26.66666667,-2.933333333,475,190,0.76,0.6,10,1.1,1.6,0.8,0.08,0,0,0,10.40666667
2251,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,ASSAM,26.13084,92.213829,2014,27,108,10.8,6.5,-33.33333333,-3.666666667,1322,528.8,2.1152,2.4,40,4.4,7.3,3.65,0.365,37,185,29.6,43.61353333
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,ASSAM,26.105147,91.712526,2014,24,96,9.6,6.4,-40,-4.4,417,166.8,0.6672,1.3,21.66666667,2.383333333,0.1,0.05,0.005,0,0,0,8.255533333
